Product,Website,Taxonomy,Level 2 (from Taxonomy),Level 3 (from Taxonomy),Tags,Compatible With,Description
Plasticity,https://www.plasticity.xyz/,Software,Design & Graphics,3D Design,"3D,Design Tool,CAD",,"With a workflow optimized for creativity, unparalleled fillets, sophisticated surface modeling, and the most advanced direct editing tools, Plasticity is the perfect choice for those who demand the best"
Modo (Foundry),https://www.foundry.com/products/modo,Software,Design & Graphics,3D Design,"3d modeling,Animation,Texture,Rendering",,"Modo’s powerful and flexible 3D modeling, animation, texturing and rendering toolset empowers artists to explore and develop ideas without jumping through technical hoops. Modo® is your starting point for creative exploration."
PixPlant,https://www.pixplant.com/,Software,Design & Graphics,3D Design,"3D,Tilemaps,Texture",,"Creating tiling 3D maps and materials has traditionally been a complex and labor-intensive work.

With PixPlant and a few clicks, you can turn real-world surfaces into seamless tiling PBR materials.

PixPlant can be a big time-saver for your texturing work!"
Clara,https://clara.io/,Software,Design & Graphics,3D Design,"3D,3d modeling,Rendering,Collaboration,Animation",,"Clara.io is a full-featured cloud-based 3D modeling, animation and rendering software tool that runs in your web browser.

With Clara.io you can make complex 3D models, create beautiful photorealistic renderings, and share them without installing any software programs.

This is the perfect Three.JS or Babylon.JS editor for creating and tweaking your Web game content."
Evergine (plain concepts),https://evergine.com/,Software,Design & Graphics,3D Design,"Graphics,3D,Cross-Platform",,"The public demands unique and innovative proposals to have fun. That's why we give you the possibility to take your entertainment offer to another dimension: breaking physical distances between users, generating highly interactive environments and creating immersive digital spaces where everything is possible."
polycam,https://poly.cam/,Software,Design & Graphics,3D Design,"Scans,3D,3d modeling",,"The future of 3D creation is not just a niche skill, but a universal language. We aim to make 3D creation seamless, affordable, and collaborative."
Crocotile 3D,https://crocotile3d.com/,Software,Design & Graphics,3D Design,"Tilemaps,3D,3d modeling,Environment","Windows,Mac,Linux","Create 3d models and environments with tiles. Typically tiles are used from 2d tilemaps to construct flat scenes, but Crocotile 3d adds another dimension. "
OGRE,https://www.ogre3d.org/,Software,Design & Graphics,3D Rendering,"3D,Rendering",,"Since 2001, OGRE has grown to become one of the most popular open-source graphics rendering engines, and has been used in a large number of production projects, in such diverse areas as games, simulators, educational software, interactive art, scientific visualisation, and others."
HORDE 3D,http://www.horde3d.org/,Software,Design & Graphics,3D Rendering,"3D,Rendering,Open Source",,Horde3D is a small open source 3D rendering engine. It is written in an effort to create a graphics engine that offers the stunning visual effects expected in next-generation games while at the same time being as lightweight and conceptually clean as possible.
Procedural Worlds,https://www.procedural-worlds.com/,Software,Design & Graphics,3D Rendering,"3D,Terrain,Rendering",,"Our mission is to empower people to create, automate and navigate worlds."
ATOMONTAGE,https://www.atomontage.com/,Software,Design & Graphics,3D Rendering,"3D,3d modeling,Rendering,Design",,"A truly universal platform for making, sharing, and monetizing 3D content.
"
Popcorn FX,https://www.popcornfx.com/,Software,Design & Graphics,3D Rendering,"VFX,Runtime,SDK","Unity,Unreal,O3DE,C++","The PopcornFX team dedicates its time and energy to deliver a stable, solid, fast, state-of-the-art runtime. It has been highly optimized on all the supported platforms and comes with various realtime profiling tools.

Since its inception in 2007, the particle engine that later became the middleware known as PopcornFX has been using a highly parallel stream processing architecture, which is at the core of its high performance and flexibility.
It is extremely similar to the way modern GPUs work."
SpeedTree,https://store.speedtree.com/,Software,Design & Graphics,3D Rendering,"Game Assets,3d modeling,3D,SDK",,"SpeedTree is the industry-standard vegetation toolkit for projects of any size and style, used across both games and film. Create and customize vegetation models with procedural generators and manual art tools."
JanagFX Elemental Suite,https://jangafx.com/software/embergen,Software,Design & Graphics,3D Rendering,"3D,Animation,Elements",,"EmberGen is a real-time volumetric fluid simulation tool that can instantly simulate, render, and export flipbooks, image sequences, and VDB volumes. With EmberGen, you can create anything: from fire and smoke to explosions and magic wisps. EmberGen gives you the creative freedom to iterate on your simulations in milliseconds instead of hours.

GeoGen is a fresh take on what terrain and planet generation can be, and with all of the incredible competition out there, we know that we have to take it to the next level. With modern node-based workflows, unique simulations, and workflow enhancements built with games in mind, GeoGen will be a powerful tool in your arsenal.

LiquiGen is our latest major innovation for simulating real-time liquids. Generate flipbooks, image sequences, and alembic caches easily. Simulate foam, spray, and bubbles with precise control. LiquiGen is still in alpha, but has already been proven to be a powerful tool in any artists hands."
Theory Accelerated Axiom,https://www.theoryaccelerated.com/,Software,Design & Graphics,3D Rendering,"Fluid,Simulation,3D,GPU",,"Axiom empowers artists to build high-end effects such as fire, smoke and pyrotechnics. It’s tried and tested in professional working environments ranging from blockbusters to indie projects."
PANDA3D,https://www.panda3d.org/,Software,Design & Graphics,3D Rendering,"Open Source,Free,Simulation,VFX",,"Panda3D is an open-source, completely free-to-use engine for realtime 3D games, visualizations, simulations, experiments — you name it! Its rich feature set readily tailors to your specific workflow and development needs."
G3D Innovation Engine,https://casual-effects.com/g3d/www/index.html,Software,Design & Graphics,3D Rendering,"3D,Rendering,Hardware,GPU",C++,"The G3D Innovation Engine is a commercial-grade C++ 3D engine available as Open Source.

G3D supports hardware accelerated real-time rendering, off-line rendering like ray tracing, and general purpose computation on GPUs. Its design emphasizes rapid prototyping and innovation, particularly of rendering and game algorithms.

G3D provides a set of routines and structures so common that they are needed in almost every graphics program. It makes low-level libraries like OpenGL, network sockets, and audio channels easier to use without limiting functionality or performance. G3D is a carefully designed, feature-rich base on which to prototype your 3D application."
Hypothetic,https://www.hypothetic.art/,Software,Design & Graphics,Asset Management,"AI,2D,Asset Management,Game Assets,3D",,"Since 2022, Hypothetic has been combining artist-friendly UI/UX with generative AI to confront inefficiencies in current 3D workflows. The result is a holistic cloud-based platform for 3D artists and teams to more easily collaborate, share, create and manage their work. "
Loci,https://www.loci.ai/,Software,Design & Graphics,Asset Management,"AI,API,3D,Game Assets",,"AI-powered APIs to label, convert, compress, and clean 3D assets at scale."
echo3D,https://www.echo3d.com/,Software,Design & Graphics,Asset Management,"3D,Enterprise,API","Unity,Unreal,Web,Javascript / TS","3D-focused cloud platform and API to store, secure, and share 3D models & scans in real time across organizations."
mudstack,https://mudstack.com/,Software,Design & Graphics,Asset Management,"Asset Management,Game Assets",,You need a centralized repository for your team’s source files. Google Drive and Dropbox don’t cut it as you grow. Mudstack is built for game studios.
Arcweave,https://arcweave.com/,Software,Design & Graphics,Design & Collaboration,"Collaboration,Design Tool",,"Arcweave is an accessible, collaborative tool for game creators. Develop complex narratives, collaborate with your team, build interactive prototypes, and integrate effortlessly with game engines to enhance your development process."
Cavrnus,https://www.cavrnus.com/,Software,Design & Graphics,Design & Collaboration,"3D,Collaboration","Unity,Unreal","Cavrnus revolutionizes 3D workflows by allowing you to easily drop the collaboration features you need, right into your UE or Unity project."
Trioscope,https://www.trioscope.co/,Software,Design & Graphics,Design & Collaboration,"Content Creation,Design",,Trioscope Stylized Entertainment Engine (SEE®) is a groundbreaking set of content stylization tools that gives professional creators newfound artistic freedom to produce breakout content. 
invoke,https://www.invoke.com/,Software,Design & Graphics,Design & Collaboration,"Gen AI,Design Tool",,"Invoke is a powerful, secure, and easy-to-deploy generative AI platform for professional studios to create visual media. Train models on your intellectual property, control every aspect of the production process, and maintain complete ownership of your data, in perpetuity."
Magma,https://magma.com/index,Software,Design & Graphics,Design & Collaboration,"Collaboration,Design,Design Tool",,"Welcome to Magma: a collaborative art platform where you can draw with up to 50 artists on one canvas, at the same time. Make new connections and multiplayer masterpieces in live art sessions — without leaving your browser. Come join our community!"
Bezi,https://www.bezi.com/,Software,Design & Graphics,Design & Collaboration,"3D,Design Tool,Collaboration",,Intuitive and powerful game design platform for modern teams.
Nuclino,https://www.nuclino.com/use-cases/game-design,Software,Design & Graphics,Design & Collaboration,"Design,Docs,Collaboration,Game Assets",,"Create game design docs, organize game assets, manage tasks, and collaborate – all in one place."
ZBrush (Maxon),https://www.maxon.net/en/zbrush,Software,Design & Graphics,Design & Collaboration,"Game Art,Design",,"ZBrush sets the industry standard for digital sculpting and painting. Its features enable you to use customizable brushes to shape, texture and paint virtual clay in a real-time environment that provides instant feedback."
Keyshot,https://www.keyshot.com/,Software,Design & Graphics,Design & Collaboration,"Design Tool,GTM,Launch",,"At the heart of KeyShot’s Product Design-to-Market Suite is a commitment to excellence in every stage of product creation. Our vision is to seamlessly connect and empower teams to design with precision, align processes with clarity, manage workflows with efficiency, and deliver products with impact. From the initial 3D rendering in the design phase to the strategic execution of the market launch, this is a comprehensive suite for transforming ideas into reality."
Celtx,https://www.celtx.com/,Software,Design & Graphics,Design & Collaboration,"Scripts,Design,Collaboration",,"Script writing, story development, and production tools for film & TV, and interactive media."
Krita,https://krita.org/en/,Software,Design & Graphics,Design & Collaboration,"Open Source,Free,Painting",,Krita is a professional FREE and open source painting program. It is made by artists that want to see affordable art tools for everyone.
Gimp,https://www.gimp.org/,Software,Design & Graphics,Design & Collaboration,"Open Source,Free,GNU,Design,Cross-Platform",,"GIMP is a cross-platform image editor available for GNU/Linux, macOS, Windows and more operating systems. It is free software, you can change its source code and distribute your changes."
Photopea,https://www.photopea.com/,Software,Design & Graphics,Design & Collaboration,"Free,Web,Photo Editor",,"Transform your photos with professional-grade tools in a free online photo editor that works right in your browser. No downloads, no hassle."
Inkscape,https://inkscape.org/,Software,Design & Graphics,Design & Collaboration,"Design Tool,Free,Open Source",,"Inkscape is a Free and open source vector graphics editor for GNU/Linux, Windows and macOS. It offers a rich set of features and is widely used for both artistic and technical illustrations such as cartoons, clip art, logos, typography, diagramming and flowcharting. It uses vector graphics to allow for sharp printouts and renderings at unlimited resolution and is not bound to a fixed number of pixels like raster graphics. Inkscape uses the standardized SVG file format as its main format, which is supported by many other applications including web browsers."
Sketchbook,https://www.sketchbook.com/,Software,Design & Graphics,Design & Collaboration,"Design Tool,Mobile","iOS,Android","You never know when a great idea will spark, or where it will lead.
 
From quick sketches to fully finished artwork, Sketchbook® goes where your creativity takes you. "
Evercast,https://www.evercast.us/,Software,Design & Graphics,Design & Collaboration,"Streaming,Design,Collaboration",,"Securely stream work sessions in up to 4K, video chat with your team, and collaborate live—all in one place."
PureRef,https://www.pureref.com/,Software,Design & Graphics,Design & Collaboration,Design,,Organize your inspiration and speed up your creative process with PureRef.
Final Draft,https://www.finaldraft.com/,Software,Design & Graphics,Design & Collaboration,"Scripts,Collaboration",,"The first-choice tool of professional screenwriters everywhere. Plan, create, collaborate. Write your screenplay with the most creator-centered, best-selling screenwriting software in the world."
Spline,https://spline.design/,Software,Design & Graphics,Design & Collaboration,"3D,Collaboration,Design Tool,Web,Real-time",,"3D design has never been easier. Create 3D objects, edit materials, add interactivity, and export. Control the outcome of your 3d design work."
Magnific,https://magnific.ai/,Software,Design & Graphics,Design & Collaboration,"Photo Editor,AI",,"The image Upscaler, Enhancer & Transformer that feels like Magic 🪄. The most advanced AI tech to achieve insanely high-res upscaling. Not only upscale, enhance & transform! Magnific can reimagine as many details as you wish guided by your own prompt and parameters!"
Lytho,https://www.lytho.com/,Software,Design & Graphics,Design & Collaboration,"Collaboration,Operations",,"Imagine a world where stakeholders can easily track the progress of their requests, provide feedback on proofs, and even create their own on-brand deliverables all in one place. A world where creative teams set realistic timelines with their stakeholders, create space for inspiration, and spend less time on mundane work, like scheduling kick-off meetings or deciphering the stakeholder’s handwriting on the blueline proof."
Scenario,https://www.scenario.com/,Software,Design & Graphics,Generator,"Gen AI,Game Assets,Design,Platform",,
Luma Labs Dream Machine,https://lumalabs.ai/dream-machine,Software,Design & Graphics,Generator,"Gen AI,Video,Content Creation",,"Whether you are a graphic designer, photographer, illustrator, or scientist, GIMP provides you with sophisticated tools to get your job done. You can further enhance your productivity with GIMP thanks to many customization options and 3rd party plugins."
Masterpiece X,https://www.masterpiecex.com/,Software,Design & Graphics,Generator,"3D,3d modeling,Animation",,"The first generative AI for 3D -  that enables the creation of assets with mesh, textures, and animations."
Zibra AI,https://effects.zibra.ai/,Software,Design & Graphics,Generator,"VFX,3D",,"We build AI-powered solutions for VFX and 3D creation for Gaming, TV, Filming, and beyond, offer custom creative services, and drive innovation through dedicated R&D efforts."
Pixelvibe,https://beta.pixelvibe.com/,Software,Design & Graphics,Generator,"AI,Gen AI",,AI generated consistent game assets in minutes
Wand,https://www.wand.app/,Software,Design & Graphics,Generator,"Illustration,Design,Design Tool,AI,Gen AI",iOS,"Experience the magic of drawing with Wand, a generative illustration tool. Rapidly prototype and create stunning artwork on your iPad or iPhone."
Midjourney,https://www.midjourney.com/home,Software,Design & Graphics,Generator,"AI,Image Generator",,"Midjourney is a generative artificial intelligence program and service created and hosted by the San Francisco-based independent research lab Midjourney, Inc. Midjourney generates images from natural language descriptions, called prompts, similar to OpenAI's DALL-E and Stability AI's Stable Diffusion."
Hadean,https://hadean.com/,Software,Design & Graphics,Generator,"Spatial Data,AI,Environment",,Decision making from the strategic to tactical will become fully autonomous in a moment. Only those with true situational understanding will compete. 
Series,https://www.series.inc/,Software,Design & Graphics,Generator,Gen AI,,Pioneering the use of generative AI to transform imaginative ideas into unforgettable gaming experiences.
Dungeon Alchemist,https://www.dungeonalchemist.com/,Software,Design & Graphics,Generator,"AI,Maps",,"Ever felt uninspired, technically challenged or just bored when creating your game maps?

We’re happy to introduce you to Dungeon Alchemist, an AI-powered map-making application that enables you to make high-quality content fast!"
Stability,https://stability.ai/,Software,Design & Graphics,Generator,"Text-to-Image,Gen AI,API,SDK,Video,Image Generator",,Activating humanity's potential through generative AI
unakin,https://www.unakin.ai/,Software,Design & Graphics,Generator,"Gen AI,Development,Code",,"Sawyer is the world's first AI game developer, built to tackle a range of engineering tasks. 

Whether you're fixing performance issues or iterating on gameplay mechanics, Sawyer can autonomously complete tasks, from start to finish. "
Fracplanet,https://sourceforge.net/projects/fracplanet/,Software,Design & Graphics,Generator,"Game Assets,Planet,Terrain,Generator",Blender,"Interactive application to generate and view random fractal planets and terrain with oceans, mountains, icecaps and rivers, then export them to POV-Ray format or Blender. Written in C++ using Qt and OpenGL."
World Creator,https://www.world-creator.com/en/index.phtml,Software,Design & Graphics,Generator,"Terrain,Generator,Real-time,3D",,"With its unparalleled power and precision, World Creator is the go-to terrain generator software for the video game, simulation, and visual effects industries. Experience the most detailed and realistic terrain generation available today! World Creator is the ultimate tool for generating and designing stunning 3D terrains, landscapes, and environments in real-time."
Tripo,https://www.tripo3d.ai/,Software,Design & Graphics,Generator,"3D,Animation,Game Assets,Generator",,Generate 3D models in 10 seconds with text.
runway,https://runwayml.com/,Software,Design & Graphics,Generator,"Video,Gen AI,Generator",,"Runway is an applied AI research company building the next era of art, entertainment and human creativity."
TREK (DeterminAI),https://www.determin.ai/,Software,Design & Graphics,Generator,"AI,Gen AI,Companion,UI,ML",,"A Visual AI Companion for play, learning and mindfulness. You can use it as an adaptive game. It can immerse you in your favourite story worlds."
Pika,https://pika.art/home,Software,Design & Graphics,Generator,"Video,Gen AI,Generator",,"Stunning footage. Longer clips. Jaw-dropping moves.
We’ve got a new model. And you’ve got the power to do all kinds of wild new things."
Alpha3D,https://www.alpha3d.io/,Software,Design & Graphics,Generator,"Text-to-Image,3D,Game Assets,3d modeling,AI,Gen AI,Generator",,Alpha3D is a game-changing generative AI platform that empowers game developers and content creators to bring their visions to life by effortlessly transforming text prompts and 2D images into high-quality 3D digital assets in minutes – no prior 3D modeling experience required.
Skybox AI (Blockade Labs),https://www.blockadelabs.com/,Software,Design & Graphics,Generator,"Game Art,Generator,AI,API,World Building",Unity,"With Skybox AI you can easily create worlds with simple text prompts, remix them to be a completely different world, and edit your world to add or remove elements."
ego,https://www.ego.live/,Software,Design & Graphics,Generator,"World Building,Agents,AI",,Create and share worlds populated with human-like generative agents on Ego.
BITMAGIC,https://www.bitmagic.ai/,Software,Design & Graphics,Generator,"AI,Gen AI,Generator",,"Bitmagic was born out of a vision that anyone should be able to create games. More than 3 billion people play games all over the world, but all games are made by a small group of people.

Traditionally, games have been very difficult, time-consuming and expensive to create, just like Hollywood-movies. And just like YouTube changed it all and made video content creation and distribution available for everyone, Bitmagic is changing the way games industry works.

Our vision is that in the future, there will be millions of people all over the world making living by creating games! When games are easy to make, game creators can afford to take risks and experiment with whole new, never-seen-before ideas.

Game creators won’t need huge audiences to make living when they are able to create new games in a matter of days, or even faster. The low barrier to entry means we will see games created by people who never dreamed of being game developers.

Most developers will end up entertaining just themselves, or their closest friends, but when everyone gets to try, we will find the hidden gems who create the next masterpieces in gaming!"
Graswald.ai,https://www.graswald.ai/,Software,Design & Graphics,Generator,"3D,3d modeling,AI",,"Graswald's 3D editor is designed to help brands create content faster, stand out online, and pay less."
ArmorLab,https://armorlab.org/,Software,Design & Graphics,Textures,"AI,Cross-Platform",,ArmorLab is a stand-alone software designed for AI-powered texture authoring. Generate PBR textures using text prompts or by drag & dropping your photos.
ARMORPAINT,https://armorpaint.org/,Software,Design & Graphics,Textures,"Texture,3D,3d modeling",,ArmorPaint is a stand-alone software designed for physically-based texture painting. Drag & drop your 3D models and start painting. Receive instant visual feedback in the viewport as you paint.
InstaMAT,https://instamaterial.com/,Software,Design & Graphics,Textures,"3D,Materials,Texture",,"Elemental tools for the design and automation
of 3D materials, assets and texturing."
Promethean AI,https://www.prometheanai.com/,Software,Design & Graphics,World Building,"AI,Game Assets",,Promethean AI manufactures time for your team by handling the mundane and bringing to the forefront what truly matters: beauty and story.
POLYGONFLOW - DASH,https://www.polygonflow.io/,Software,Design & Graphics,World Building,"3D,Game Assets",Unreal,"Dash is a World Building Tool for UE5. From Scattering Tools to Physics Painting, Content Browsing with AI Tagging, Procedural Mesh Creation like Vines and Roads, Blend Material and Easy Camera setup, Dash takes your environment creation process, and makes it effortless."
World Machine,https://www.world-machine.com/,Software,Design & Graphics,World Building,"Terrain,VFX",,"For nearly a decade, World Machine has been the go-to terrain generation tool for AAA games, VFX, and independent artists."
Cuebric Generative Mesh,https://cuebric.com/,Software,Design & Graphics,World Building,"3D,2D,World Building,Gen AI,Generator",,Cuebric is the Generative AI tool that is revolutionizing preproduction and production by allowing filmmakers to go From Concept To Camera™ in minutes.
moonlander.ai,https://www.moonlander.ai/,Software,Design & Graphics,World Building,"AI,World Building,SDK",Unity,Moonlander is the first AI powered copilot for virtual world building that enables unparalleled efficiency in game development. We empower game developers to focus on their expertise by eliminating the time-consuming tasks of virtual world building.
gscatter,https://gscatter.com/,Software,Design & Graphics,World Building,"3D,World Building,Generator,Gen AI",,Get access to a library of the highest quality 3D content and create virtual worlds in minutes with Gscatter.
Aarda,https://www.aarda.ai/,Software,Design & Graphics,World Building,"AI,World Building,Characters,Agents",,"Aarda AI helps you streamline narrative creation by enabling dynamic, evolving characters in game worlds. Build cohesive, scalable worlds with minimal effort."
Omni Creator Products,https://www.ocp.gg/,Software,Development,,,,"Games have a unique ability to transport us to different worlds and captivate us with amazing stories. We’re building a world for you to enjoy but we’re not stopping there: we’re giving you the toolbox we used to build our world to enable you to mold that world to fit your imagination and create your own stories, regardless of your experience. Empowering you to create and tell your stories lies at the heart of OCP’s mission."
arctop,https://arctop.com/,Software,Development,,API,,"Human brain signal data can be detected from on-skin sensors in a variety of next-generation headwear, including headbands, earbuds, headphones, VR and AR.

Our cognition software platform specializes in real-time analysis of these complex signals, outputting actionable insights over APIs."
bhpatics,https://www.bhaptics.com/,Software,Development,,Haptics,,Haptic suits & supporting software.
Couchbase,https://www.couchbase.com/use-cases/gaming/,Software,Development,,Database,,"Social gaming and online sports betting are competitive environments. Your game must be able to handle large volumes of unpredictable traffic while simultaneously promising zero downtime. Gamers expect to play whenever they want, for as long as they want, and have no tolerance for delays or lag. At the heart of any successful game is a database that maintains 100% uptime, scales in real time to handle millions of users or more, and provides users a responsive and personalized experience across all of their devices."
MIRAISENS,https://www.miraisens.com/,Software,Development,,Haptics,,"3DHaptics is a game changer in the realm of technology,
and its programming required extremely advanced know-how.
By combining those three solutions, anyone can develop
intuitively attractive digital contents perfected with
Haptics Feedbacks with a drastically lower man-hour cost."
StretchSense,https://stretchsense.com/,Software,Development,,"Hardware,VR,XR",,Software (Hand Engine) & Hardware to support hand gesture capture (motion capture).
Twine,https://twinery.org/,Software,Development,,"Open Source,Web,HTML5",,"Twine is an open-source tool for telling interactive, nonlinear stories.

You don’t need to write any code to create a simple story with Twine, but you can extend your stories with variables, conditional logic, images, CSS, and JavaScript when you're ready.

Twine publishes directly to HTML, so you can post your work nearly anywhere. Anything you create with it is completely free to use any way you like, including for commercial purposes.

"
Vulkan,https://www.vulkan.org/,Software,Development,,"API,Cross-Platform,Graphics,GPU,Compute",,Vulkan is an open standard API that allows developers to create applications that work on multiple platforms. It's designed to be used in high-performance multithreaded applications and can be implemented in many programming languages.
agentic,https://www.agentic.ai/,Software,Development,Agents & Testing,"AI,Agents,Bots,Testing",,"Agentic makes it easy to create and deploy AI that work for you. No PhD required. From finding bugs to supporting live players, our agents are here to help."
modl.ai,https://modl.ai/,Software,Development,Agents & Testing,"AI,Bots,Agents,Testing",,"AI-driven bots discover bugs, crashes and performance issues, as well as embody player behavior for more personalized game experiences."
gamedriver,https://gamedriver.io/,Software,Development,Agents & Testing,"Playtesting,Automation,DevOps","Unity,Unreal","GameDriver enables developers, testers and producers of video games, AR, and VR - also known as Immersive Experiences or IX, to automate functional testing; improving time to market, test coverage and overall quality and revenue.

GameDriver has developed tooling to introduce scalable and repeatable quality assurance to the massive IX industry. GameDriver's solution lets development studios reduce their reliance on expensive testing methods of questionable reliability and quality, including beta testers or warehoused manual testing."
nunu.ai,https://nunu.ai/,Software,Development,Agents & Testing,"AI,Agents,Testing,Playtesting,QA",,"We are pioneering artificial intelligence agents that can test and play any game. Our agents are vision-based, meaning they see and interact with the game just like a human would. While playing the game, the agents reason about their actions and provide interpretable insights into their thought process."
Regression,https://www.regression.gg/,Software,Development,Agents & Testing,"Unity,Testing",Unity,The first smoke test automation platform that focuses on ease of integration and depth of testing.
T-PLAN,https://www.t-plan.com/,Software,Development,Agents & Testing,"Testing,UI,Automation",,"Agnostic to any tech, browser, or platform, our no-code intuitive automation tool is designed to be used by anyone in the team.  

Save time and money by streamlining processes and identifying errors with our advanced visual recognition tool."
Verified AI,https://www.verified-ai.net/,Software,Development,Agents & Testing,"QA,AI",,"Verified AI was started under one premise. One important mission. To amalgamate Artificial Intelligence with Software QA to augment QA personnel, not replace them. 

Our vision for Verified AI are the creation of QA AI tools available to game developers of all sizes. From small indie companies, to giant AAA corporations. Everyone will be able to benefit from Verified AI’s state of the art QA AI tools.  "
AltTester,https://alttester.com/,Software,Development,Agents & Testing,"Automation,Testing",,"Full game test automation solution, from tools to services and training"
Antidote,https://antidote.gg/,Software,Development,Agents & Testing,"Playtesting,Analytics,Platform",,Antidote's all-in-one playtesting and user research platform helps you gather actionable insights from real players.
LIVEAWARE,https://www.liveaware.io/home,Software,Development,Agents & Testing,"Playtesting,Video,SDK","Unity,Unreal","Effortlessly capture player experiences, instantly triage insights, and take action together to create the very best games."
Kythera AI,https://kythera.ai/,Software,Development,Agents & Testing,"AI,NPCs,Bots",,"An advanced AI middleware toolset that allows studios to quickly create intelligent NPCs that understand and dynamically react to their environment. Whatever the game, Kythera AI provides the tools for compelling and immersive gameplay enabling the creation of better games, quicker."
eastworld,https://github.com/mluogh/eastworld,Software,Development,Agents & Testing,"Open Source,Agents,ML,Gen AI,Framework",,"eastworld is an open-source, language-agnostic framework for adding Generative Agents to your video games, visual novels, and other forms of interactive media."
PlaytestCloud,https://www.playtestcloud.com/,Software,Development,Analytics,"Playtesting,Analytics,Research,Insights",,PlaytestCloud provides an easy to use Player Insights Platform™ that solves all of the barriers to playtesting that gaming studios commonly face.
GameAnalytics,https://gameanalytics.com/,Software,Development,Analytics,"Analytics,A/B Testing,Integrations","Unity,Unreal,Roblox","Make smart, data-driven decisions that help optimize your entire portfolio of games. Join the world's leading studios who use GameAnalytics to learn more about their players, cut out the guesswork, and improve KPIs."
ByteBrew,https://bytebrew.io/,Software,Development,Analytics,"Analytics,Monetisation,LiveOps","Unity,Godot,GameMaker,Unreal,iOS,Android,Swift,React,Web","Built by Game Devs for Game Devs, ByteBrew is the all-in-one game analytics platform that gives you everything your game needs to grow for free!"
cognitive3D,https://cognitive3d.com/,Software,Development,Analytics,"3D,VR,AR,Analytics","Unity,Unreal,C++,API",Cognitive3D is a 3D analytics platform that measures human behavior in VR/AR simulations and turns them into actionable insights.
PickFu,https://www.pickfu.com/industries/gaming,Software,Development,Analytics,"Testing,Playtesting,Analytics",,"Don't leave gamers out of your development cycle. From testing initial ideas and character concepts to app store icons, advertising, and post-launch assets, PickFu helps you create better gaming experiences."
HOMA,https://www.homagames.com/,Software,Development,Analytics,"SDK,Analytics",,"So, who are we? We’re the people behind mobile gaming’s great leap forward. the creative specialists giving game creators the tools, support and data needed to power up their creativity and multiply their download"
Speakeasy,https://www.speakeasy.com/,Software,Development,Dev Tooling,"API,Integrations,SDK",,"Best in class API tooling for robust SDKs, Terraform Providers and End to End Testing."
Parsec,https://parsec.app/,Software,Development,Dev Tooling,Productivity,,"Remote desktop reimagined – a seamless 4k experience at up to 60 frames per second with near-zero latency. Secure, flexible, effortless access to whatever you do, at any time, from wherever you go."
Coherent Labs,https://coherent-labs.com/,Software,Development,Dev Tooling,"UI,Web",,"Create stunning and high-performance game user interface based on the modern web technologies – HTML5, CSS3, JavaScript."
diversion,https://www.diversion.dev/game-development,Software,Development,Dev Tooling,"Collaboration,Asset Management,Code","Unreal,API",Modern Version Control Built for Game Development
dolthub,https://www.dolthub.com/,Software,Development,Dev Tooling,Database,,"Dolt is a SQL database you can fork, clone, branch, merge, push and pull just like a Git repository. Connect to Dolt just like any MySQL database to run SQL queries. Use the command line interface to import CSV files, commit your changes, push them to a remote, or merge your teammate's changes."
embrace,https://embrace.io/solutions/gaming/,Software,Development,Dev Tooling,"Mobile,DevOps,Game Servers,Observability,SDK","Unity,Android,iOS,Flutter","Proactively find every app hang, crash, and error before your players do. Whether you’re using Unity, Android, iOS, or Flutter – get the full user journey in a single solution, purpose-built for mobile developers"
Jetbrains - Rider,https://www.jetbrains.com/gamedev/,Software,Development,Dev Tooling,"Code,DevOps","Unity,Unreal,Web","Regardless of the game development engine or platform you use, there’s a JetBrains tool to match."
NOESIS GUI,https://www.noesisengine.com/,Software,Development,Dev Tooling,"GUI,Middleware,UI","Unity,Unreal",Discover the most powerful User Interface middleware for videogames and realtime applications.
Perforce,https://www.perforce.com/solutions/game-development,Software,Development,Dev Tooling,"DevOps,Development,Versioning",,"Trusted by 19/20 top AAA game development studios, Helix Core versions everything and scales endlessly. Learn how Perforce empowers teams to go to market faster with better products."
RESILIO,https://www.resilio.com/industries/gaming/,Software,Development,Dev Tooling,"Collaboration,Development,Versioning",,"The Resilio solution saves time building, distributing, and testing games; eliminates downtime; and helps companies bring games to market faster using in-place IT infrastructure software and hardware.  Remote workers and in-office contributors can all rapidly sync artifacts and changes of any size in predictable time frames, over any distance and location.  Resilio’s cross-platform, software-only solution builds on open file formats and is easy to integrate into popular source control systems and CI/CD frameworks. "
Rive,https://rive.app/,Software,Development,Dev Tooling,"Design Tool,Development,Collaboration",,"With Rive, complex designer-developer handoff is a thing of the past. Reduce development times by empowering designers to build functional graphics with rich interactivity and animation."
Sentry,https://sentry.io/for/gaming/,Software,Development,Dev Tooling,"Monitoring,Analytics","Unreal,Unity,Web,C++,C#","Your game's code is telling you more than what your logs let on. Sentry for Gaming catches all your errors and performance issues, and shows you how to fix them before they bring down the player experience."
SIGNIANT,https://www.signiant.com/industries/gaming/,Software,Development,Dev Tooling,"Asset Management,Collaboration",,"Studios, developers, designers and QA testers can easily access and share game builds and asset files, anywhere."
Machinations,https://machinations.io/,Software,Development,Dev Tooling,"Simulation,Testing,Risk",,"Do Monte Carlo simulations with 1 click to evaluate scenarios in a safe, virtual environment. From games to finance and beyond, make smarter decisions."
